Name,URL,URL-hyperlinked,Year,inducted_member,Gender
Buddy Holly,https://en.wikipedia.org/wiki/Buddy_Holly,"<a href=""https://en.wikipedia.org/wiki/Buddy_Holly"" target=""_blank"">https://en.wikipedia.org/wiki/Buddy_Holly</a>",1986,,Male
Chuck Berry,https://en.wikipedia.org/wiki/Chuck_Berry,"<a href=""https://en.wikipedia.org/wiki/Chuck_Berry"" target=""_blank"">https://en.wikipedia.org/wiki/Chuck_Berry</a>",1986,,Male
Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley,"<a href=""https://en.wikipedia.org/wiki/Elvis_Presley"" target=""_blank"">https://en.wikipedia.org/wiki/Elvis_Presley</a>",1986,,Male
Fats Domino,https://en.wikipedia.org/wiki/Fats_Domino,"<a href=""https://en.wikipedia.org/wiki/Fats_Domino"" target=""_blank"">https://en.wikipedia.org/wiki/Fats_Domino</a>",1986,,Male
James Brown,https://en.wikipedia.org/wiki/James_Brown,"<a href=""https://en.wikipedia.org/wiki/James_Brown"" target=""_blank"">https://en.wikipedia.org/wiki/James_Brown</a>",1986,,Male
Jerry Lee Lewis,https://en.wikipedia.org/wiki/Jerry_Lee_Lewis,"<a href=""https://en.wikipedia.org/wiki/Jerry_Lee_Lewis"" target=""_blank"">https://en.wikipedia.org/wiki/Jerry_Lee_Lewis</a>",1986,,Male
Little Richard,https://en.wikipedia.org/wiki/Little_Richard,"<a href=""https://en.wikipedia.org/wiki/Little_Richard"" target=""_blank"">https://en.wikipedia.org/wiki/Little_Richard</a>",1986,,Male
Ray Charles,https://en.wikipedia.org/wiki/Ray_Charles,"<a href=""https://en.wikipedia.org/wiki/Ray_Charles"" target=""_blank"">https://en.wikipedia.org/wiki/Ray_Charles</a>",1986,,Male
Sam Cooke,https://en.wikipedia.org/wiki/Sam_Cooke,"<a href=""https://en.wikipedia.org/wiki/Sam_Cooke"" target=""_blank"">https://en.wikipedia.org/wiki/Sam_Cooke</a>",1986,,Male
"Everly Brothers, The",https://en.wikipedia.org/wiki/The_Everly_Brothers,"<a href=""https://en.wikipedia.org/wiki/The_Everly_Brothers"" target=""_blank"">https://en.wikipedia.org/wiki/The_Everly_Brothers</a>",1986,Don Everly and Phil Everly,Male
Aretha Franklin,https://en.wikipedia.org/wiki/Aretha_Franklin,"<a href=""https://en.wikipedia.org/wiki/Aretha_Franklin"" target=""_blank"">https://en.wikipedia.org/wiki/Aretha_Franklin</a>",1987,,Female
B.B. King,https://en.wikipedia.org/wiki/B.B._King,"<a href=""https://en.wikipedia.org/wiki/B.B._King"" target=""_blank"">https://en.wikipedia.org/wiki/B.B._King</a>",1987,,Male
Big Joe Turner,https://en.wikipedia.org/wiki/Big_Joe_Turner,"<a href=""https://en.wikipedia.org/wiki/Big_Joe_Turner"" target=""_blank"">https://en.wikipedia.org/wiki/Big_Joe_Turner</a>",1987,,Male
Bill Haley,https://en.wikipedia.org/wiki/Bill_Haley,"<a href=""https://en.wikipedia.org/wiki/Bill_Haley"" target=""_blank"">https://en.wikipedia.org/wiki/Bill_Haley</a>",1987,,Male
